timestamp,gesto,deslocamento_medio_x,deslocamento_acumulado_x,slide_atual
2026-04-10 09:29:21,direita,5.0209,21.738,2
2026-04-10 09:29:23,esquerda,-4.4212,-20.432,1
2026-04-10 09:29:24,direita,17.3434,24.2089,2
2026-04-10 09:29:25,direita,-3.2114,44.341,3
2026-04-10 09:29:26,direita,2.5142,20.209,4
2026-04-10 09:29:27,esquerda,-3.6032,-53.9412,3
2026-04-10 09:29:28,direita,4.0289,39.7043,4
2026-04-10 09:29:29,esquerda,-3.9944,-22.8639,3
2026-04-10 09:29:30,direita,30.811,50.3684,4
2026-04-10 09:29:31,esquerda,-6.3951,-28.6858,3
2026-04-10 09:29:31,esquerda,1.9939,-27.9202,2
2026-04-10 09:29:32,direita,-0.0105,31.78,3
2026-04-10 09:29:33,esquerda,-4.408,-146.2856,2
2026-04-10 09:29:34,direita,37.9397,157.4466,3
2026-04-10 09:29:35,esquerda,-11.5422,-152.895,2
2026-04-10 09:29:36,direita,6.9683,23.7674,3
2026-04-10 09:29:37,esquerda,-6.7282,-21.9185,2
2026-04-10 09:29:38,direita,40.3155,58.1594,3
2026-04-10 09:29:39,esquerda,-5.7885,-93.0722,2
2026-04-10 09:29:40,direita,0.9276,24.1277,3
2026-04-10 09:29:42,direita,47.5772,62.0259,4
2026-04-10 09:29:43,esquerda,-4.1586,-26.3517,3
2026-04-10 09:29:44,esquerda,-19.2804,-157.9018,2
2026-04-10 09:29:44,direita,8.1766,62.4639,3
2026-04-10 09:29:45,esquerda,-6.6765,-32.9653,2
2026-04-10 09:29:46,direita,32.8127,91.6115,3
2026-04-10 09:29:47,esquerda,-4.6691,-79.6809,2
2026-04-10 09:29:48,direita,2.19,56.8898,3
2026-04-10 09:29:49,direita,14.9896,28.6896,4
2026-04-10 09:29:51,esquerda,-56.708,-45.6886,3
2026-04-10 09:29:52,esquerda,-10.3556,-21.0046,2
2026-04-10 09:29:57,esquerda,-4.7055,-22.124,1
2026-04-10 09:29:58,direita,31.8905,39.6245,2
2026-04-10 09:29:59,esquerda,-17.9533,-41.5934,1
2026-04-10 09:30:00,direita,9.3635,28.6869,2
2026-04-10 09:30:01,esquerda,-22.7518,-40.2646,1
2026-04-10 09:30:01,esquerda,4.8049,-41.9195,1
2026-04-10 09:30:03,esquerda,-3.1434,-21.7203,1
2026-04-10 09:30:04,esquerda,-3.5677,-31.1104,1
2026-04-10 09:30:05,direita,21.8208,34.1632,2
2026-04-10 09:30:07,esquerda,-2.6541,-22.5442,1
2026-04-10 09:30:09,direita,6.7335,24.6395,2
2026-04-10 09:30:10,direita,23.1772,30.891,3
2026-04-10 09:30:11,esquerda,-3.3797,-23.1845,2
2026-04-10 09:30:12,direita,4.7579,20.5808,3
2026-04-10 09:30:13,direita,10.4501,20.3937,4
2026-04-10 09:30:15,direita,3.3741,21.8903,5
2026-04-10 09:30:15,esquerda,-2.9772,-31.1985,4
2026-04-10 09:30:17,esquerda,-9.5452,-27.7443,3
2026-04-10 09:30:22,esquerda,-22.9066,-22.6548,2
